observation,action
"-0.041996192, 0.48297316, -0.4623242, -0.95778954, 0.5719752, -0.35829476, 0.0, 0.0","0.0, 1.0000305"
"-0.046711348, 0.46073437, -0.4544602, -0.9812156, 0.55207324, -0.39803898, 0.0, 0.0","0.0, 1.0000305"
"-0.05137558, 0.4379593, -0.44757718, -1.0046561, 0.53035766, -0.43431145, 0.0, 0.0","0.0, 1.0000305"
"-0.05596771, 0.41466475, -0.43795514, -1.0272118, 0.5061936, -0.48328218, 0.0, 0.0","0.0, 1.0000305"
"-0.06050577, 0.3908239, -0.43070787, -1.0512898, 0.48028553, -0.5181613, 0.0, 0.0","0.0, 1.0000305"
"-0.06499062, 0.36644185, -0.4234615, -1.0752199, 0.45261225, -0.5534656, 0.0, 0.0","0.0, 1.0000305"
"-0.06940107, 0.34151638, -0.41364288, -1.0992135, 0.42272916, -0.5976625, 0.0, 0.0","0.0, 1.0000305"
"-0.0737463, 0.316056, -0.40482444, -1.1230081, 0.39079016, -0.63878065, 0.0, 0.0","0.0, 1.0000305"
"-0.07803307, 0.29003736, -0.3969912, -1.1480486, 0.3571673, -0.6724577, 0.0, 0.0","0.0, 1.0000305"
"-0.08224611, 0.26347497, -0.38715735, -1.1724716, 0.32140377, -0.7152717, 0.0, 0.0","0.0, 1.0000305"
"-0.086370945, 0.23637722, -0.37549415, -1.1966004, 0.2831224, -0.765628, 0.0, 0.0","0.0, 0.9205908"
"-0.09041472, 0.20873524, -0.36473554, -1.2213626, 0.24257328, -0.810983, 0.0, 0.0","0.0, 0.77318645"
"-0.0944169, 0.18052977, -0.3590098, -1.2473218, 0.20084988, -0.83446866, 0.0, 0.0","0.18033387, 0.45728934"
"-0.09837885, 0.15220644, -0.35510746, -1.2537649, 0.15961061, -0.8247858, 0.0, 0.0","0.56138796, 0.32355723"
"-0.10233183, 0.123728454, -0.35420248, -1.261795, 0.11863502, -0.8195125, 0.0, 0.0","0.6940214, 0.21369061"
"-0.10635443, 0.09522601, -0.3608496, -1.2639989, 0.07755456, -0.8216101, 0.0, 0.0","1.0000305, 0.17435224"
"-0.110244945, 0.06707462, -0.348357, -1.2495564, 0.03731505, -0.80479085, 0.0, 0.0","1.0000305, 0.17038484"
"-0.114054486, 0.0391878, -0.34067944, -1.2388885, -0.0024463218, -0.7952281, 0.0, 0.0","1.0000305, 0.18851283"
"-0.11787977, 0.011987624, -0.34216994, -1.2094395, -0.042285584, -0.79678607, 0.0, 0.0","1.0000305, 0.20929594"
"-0.121523, -0.014911928, -0.32478455, -1.1971179, -0.081397675, -0.7822424, 1.0, 0.0","1.0000305, 0.23352763"
"-0.0039343834, 1.4173307, -0.39853045, 0.28490818, 0.0045657945, 0.09027308, 0.0, 0.0","1.0000305, 0.26340526"
"-0.0077835084, 1.4238191, -0.38985184, 0.28835395, 0.009448161, 0.097656794, 0.0, 0.0","1.0000305, 0.27066866"
"-0.011590863, 1.4305917, -0.3858985, 0.30095884, 0.014555646, 0.102159426, 0.0, 0.0","1.0000305, 0.27332377"
"-0.015485096, 1.4381025, -0.39423224, 0.33375308, 0.01930827, 0.09506117, 0.0, 0.0","0.90035707, 0.27646717"
"-0.01939621, 1.4461507, -0.39591238, 0.35763463, 0.02405003, 0.094844066, 0.0, 0.0","0.61510056, 0.27646717"
"-0.023419952, 1.4548011, -0.40670976, 0.38438532, 0.028345926, 0.0859256, 0.0, 0.0","0.0, 0.0068666646"
"-0.02744379, 1.4628516, -0.40672177, 0.3577104, 0.032641523, 0.08591959, 0.0, 0.0","0.0, -0.0041505173"
"-0.031467725, 1.4703025, -0.40673447, 0.33104485, 0.036936242, 0.08590231, 0.0, 0.0","0.0, -0.013550218"
"-0.035491753, 1.4771534, -0.4067468, 0.30437574, 0.0412303, 0.08588888, 0.0, 0.0","0.0, -0.014618366"
"-0.03951607, 1.4834046, -0.40675932, 0.27770585, 0.04552367, 0.08587514, 0.0, 0.0","0.0, -0.014618366"
"-0.04354038, 1.489056, -0.4067718, 0.25103584, 0.04981636, 0.08586167, 0.0, 0.0","0.0, -0.014618366"
"-0.047564887, 1.4941077, -0.40678424, 0.22436574, 0.054108392, 0.085848466, 0.0, 0.0","0.0, -0.014618366"
"-0.051589586, 1.4985596, -0.4067966, 0.19769555, 0.058399767, 0.08583523, 0.0, 0.0","0.0, -0.014618366"
"-0.055614375, 1.5024116, -0.4068089, 0.17102529, 0.06269048, 0.08582203, 0.0, 0.0","0.0, -0.014618366"
"-0.059639264, 1.5056639, -0.4068211, 0.14435495, 0.06698053, 0.08580891, 0.0, 0.0","0.0, -0.014618366"
"-0.06366444, 1.5083162, -0.40683332, 0.11768451, 0.071269944, 0.085795775, 0.0, 0.0","0.0, -0.014618366"
"-0.06768961, 1.5103688, -0.40684548, 0.09101399, 0.07555871, 0.08578273, 0.0, 0.0","0.0, -0.014618366"
"-0.071714975, 1.5118215, -0.40685755, 0.06434334, 0.079846814, 0.08576973, 0.0, 0.0","0.0, -0.014618366"
"-0.075740434, 1.5126743, -0.4068696, 0.037672617, 0.08413427, 0.08575677, 0.0, 0.0","0.0, -0.014618366"
"-0.07976608, 1.5129275, -0.40688157, 0.011001766, 0.08842109, 0.08574383, 0.0, 0.0","0.0, -0.014618366"
"-0.08379193, 1.5125808, -0.40689343, -0.015669163, 0.09270728, 0.08573098, 0.0, 0.0","0.0, -0.014618366"
"-0.08781786, 1.5116342, -0.40690526, -0.042340145, 0.096992806, 0.08571823, 0.0, 0.0","0.0, -0.0010376293"
"-0.09184389, 1.5100878, -0.40691704, -0.06901118, 0.101277694, 0.085705444, 0.0, 0.0","0.0, 0.008972442"
"-0.095870115, 1.5079416, -0.40692872, -0.09568229, 0.10556196, 0.08569272, 0.0, 0.0","0.0, 0.016266366"
"-0.09989653, 1.5051956, -0.40694037, -0.1223535, 0.109845586, 0.08568007, 0.0, 0.0","0.0, 0.019775994"
"-0.10392132, 1.5018284, -0.4067933, -0.14997274, 0.11412907, 0.08566953, 0.0, 0.0","0.0, 0.023010956"
"-0.10794611, 1.4978616, -0.40679306, -0.17664093, 0.118412524, 0.08566942, 0.0, 0.0","0.0, 0.023010956"
"-0.1119709, 1.493295, -0.4067928, -0.20330912, 0.12269599, 0.085669324, 0.0, 0.0","0.0, 0.02603229"
"-0.11599569, 1.4881287, -0.4067925, -0.22997732, 0.12697944, 0.085669145, 0.0, 0.0","0.0, 0.029175695"
"-0.12002058, 1.4823625, -0.40679222, -0.2566455, 0.13126291, 0.08566901, 0.0, 0.0","0.0, 0.035157323"
"-0.12404547, 1.4759966, -0.40679193, -0.2833137, 0.13554636, 0.08566886, 0.0, 0.0","0.0, 0.046205025"
"-0.12807035, 1.469031, -0.40679163, -0.30998188, 0.13982978, 0.08566871, 0.0, 0.0","0.0, 0.056215096"
"-0.13209534, 1.4614656, -0.40679136, -0.33665007, 0.14411321, 0.08566858, 0.0, 0.0","0.0, 0.08777124"
"-0.13612032, 1.4533004, -0.40679103, -0.36331826, 0.14839664, 0.085668586, 0.0, 0.0","0.0, 0.1614124"
"-0.1401453, 1.4445354, -0.40679067, -0.38998646, 0.15268005, 0.08566847, 0.0, 0.0","0.18668172, 0.26636556"
"-0.14427586, 1.4354758, -0.4170084, -0.4030606, 0.15662366, 0.07887224, 0.0, 0.0","0.31070894, 0.3695181"
"-0.14839792, 1.4261868, -0.4163627, -0.41329324, 0.1607847, 0.083220854, 0.0, 0.0","0.4219184, 0.44087037"
"-0.1526, 1.4167312, -0.42421904, -0.42068675, 0.1647938, 0.0801816, 0.0, 0.0","0.5147252, 0.4933317"
"-0.15681219, 1.4078753, -0.4257753, -0.394108, 0.16936381, 0.09140039, 0.0, 0.0","0.5656606, 0.5240638"
"-0.16094074, 1.3991854, -0.41669446, -0.38665846, 0.17321447, 0.077013165, 0.0, 0.0","0.60444957, 0.5506455"
"-0.16501684, 1.3908508, -0.41065302, -0.37078935, 0.17626074, 0.060925912, 0.0, 0.0","0.64394057, 0.5795465"
"-0.16904888, 1.3827845, -0.4053308, -0.3587601, 0.17839254, 0.042635955, 0.0, 0.0","0.6848964, 0.61272013"
"-0.17333984, 1.3753152, -0.42959762, -0.332028, 0.17889832, 0.010115432, 0.0, 0.0","0.7306131, 0.6346019"
"-0.17771979, 1.3678278, -0.437073, -0.33267, 0.17796837, -0.018599074, 0.0, 0.0","0.7610706, 0.64940333"
"-0.1822091, 1.3609686, -0.4466669, -0.30457732, 0.17569923, -0.045382757, 0.0, 0.0","0.78612626, 0.67397076"
"-0.18672046, 1.3548822, -0.44772306, -0.2701048, 0.1722744, -0.06849688, 0.0, 0.0","0.79876095, 0.68910795"
"-0.19130048, 1.3487271, -0.45305914, -0.27299315, 0.16733, -0.098887876, 0.0, 0.0","0.8022706, 0.69429606"
"-0.19583082, 1.3433303, -0.44703883, -0.23919873, 0.16132575, -0.12008476, 0.0, 0.0","0.8022706, 0.6972564"
"-0.20053343, 1.3379525, -0.46249157, -0.23818932, 0.1535618, -0.15527931, 0.0, 0.0","0.80385756, 0.6972564"
"-0.20544052, 1.3333017, -0.48124585, -0.20575576, 0.14411674, -0.18890134, 0.0, 0.0","0.80385756, 0.6990875"
"-0.21053448, 1.3288915, -0.498146, -0.19496556, 0.13290595, -0.22421625, 0.0, 0.0","0.80385756, 0.6990875"
"-0.21549782, 1.3243997, -0.4839479, -0.19857165, 0.12057914, -0.24653617, 0.0, 0.0","0.80385756, 0.7002167"
"-0.22060771, 1.3205525, -0.49694115, -0.16991356, 0.10661874, -0.27920806, 0.0, 0.0","0.80385756, 0.70204777"
"-0.22569136, 1.3170941, -0.4929735, -0.15268335, 0.091351524, -0.3053443, 0.0, 0.0","0.80385756, 0.70204777"
"-0.23079214, 1.3143905, -0.49327382, -0.11920708, 0.07470516, -0.3329274, 0.0, 0.0","0.80385756, 0.70204777"
"-0.23589048, 1.3117905, -0.4915517, -0.11474597, 0.056620162, -0.36170012, 0.0, 0.0","0.7594226, 0.70204777"
"-0.24083814, 1.3097175, -0.47536302, -0.09151125, 0.037446685, -0.38346964, 0.0, 0.0","0.4210944, 0.6259041"
"-0.2458776, 1.3075641, -0.48300272, -0.09531455, 0.016768765, -0.41355866, 0.0, 0.0","0.28913236, 0.5022126"
"-0.25100213, 1.305622, -0.49022764, -0.08621601, -0.0051748157, -0.4388717, 0.0, 0.0","0.11215552, -0.014313181"
"-0.25620174, 1.3037939, -0.49737006, -0.08148391, -0.027476488, -0.44603363, 0.0, 0.0","0.0, -0.014313181"
"-0.26140118, 1.3013722, -0.49737096, -0.10819221, -0.049777392, -0.4460183, 0.0, 0.0","0.0, -0.014313181"
"-0.26660046, 1.2983572, -0.49737328, -0.1349005, -0.07207753, -0.44600302, 0.0, 0.0","0.0, -0.014313181"
"-0.27179942, 1.2947487, -0.497377, -0.1616087, -0.0943769, -0.44598776, 0.0, 0.0","0.0, -0.014313181"
"-0.27699795, 1.2905468, -0.49738216, -0.18831685, -0.11667552, -0.4459725, 0.0, 0.0","0.0, -0.014313181"
"-0.28219596, 1.2857516, -0.49738866, -0.21502493, -0.13897337, -0.44595718, 0.0, 0.0","0.0, -0.014313181"
"-0.28739333, 1.2803628, -0.49739653, -0.2417329, -0.16127047, -0.44594193, 0.0, 0.0","0.0, -0.014313181"
"-0.29258996, 1.2743806, -0.49740577, -0.26844075, -0.1835668, -0.44592673, 0.0, 0.0","0.0, -0.014313181"
"-0.29778582, 1.267805, -0.4974164, -0.29514846, -0.20586236, -0.44591147, 0.0, 0.0","0.0, -0.014313181"
"-0.30298066, 1.2606356, -0.49742842, -0.321856, -0.22815716, -0.4458962, 0.0, 0.0","0.0, -0.014313181"
"-0.30817452, 1.252873, -0.49744183, -0.34856334, -0.2504512, -0.44588095, 0.0, 0.0","0.0, -0.014313181"
"-0.3133673, 1.2445166, -0.4974566, -0.3752705, -0.2727445, -0.44586572, 0.0, 0.0","0.0, -0.014313181"
"-0.31855887, 1.2355669, -0.4974726, -0.4019774, -0.29503703, -0.44585046, 0.0, 0.0","0.0, -0.014313181"
"-0.3237492, 1.2260232, -0.49749002, -0.42868403, -0.31732878, -0.4458352, 0.0, 0.0","0.0, -0.014313181"
"-0.3289381, 1.2158859, -0.49750876, -0.45539042, -0.3396198, -0.44581994, 0.0, 0.0","0.0, -0.014313181"
"-0.33412558, 1.2051549, -0.49752885, -0.48209652, -0.36191002, -0.4458047, 0.0, 0.0","0.0, -0.014313181"
"-0.33931142, 1.1938299, -0.4975502, -0.5088023, -0.3841995, -0.44578943, 0.0, 0.0","0.0, 0.00839259"
"-0.34449562, 1.181911, -0.49757284, -0.5355078, -0.4064882, -0.44577417, 0.0, 0.0","0.0, 0.07763909"
"-0.34967813, 1.1693982, -0.49759683, -0.5622129, -0.42877614, -0.4457589, 0.0, 0.0","0.22266304, 0.22559282"
"-0.35472926, 1.1567708, -0.48461503, -0.5676289, -0.45113376, -0.44715285, 0.0, 0.0","0.57026887, 0.53459275"
"-0.35966954, 1.144211, -0.47242507, -0.5653852, -0.47494978, -0.47632113, 0.0, 0.0","0.63997316, 0.8001648"
"-0.3644545, 1.1316925, -0.45548278, -0.56448996, -0.5006479, -0.51396215, 0.0, 0.0","0.665212, 0.83474225"
"-0.36901942, 1.1190032, -0.43223494, -0.5730845, -0.5281328, -0.5496975, 0.0, 0.0","0.6548051, 0.84865874"
"-0.3731768, 1.1068697, -0.3901973, -0.54950774, -0.55755377, -0.588421, 0.0, 0.0","0.6391491, 0.8555254"
"-0.3771186, 1.0944723, -0.36753696, -0.56241417, -0.5888194, -0.6253129, 0.0, 0.0","0.6283456, 0.85857725"
"-0.38087732, 1.081953, -0.34814793, -0.56916153, -0.62206686, -0.6649507, 0.0, 0.0","0.618305, 0.86431473"
"-0.38400817, 1.0695921, -0.28467035, -0.5634045, -0.65698, -0.6982628, 0.0, 0.0","0.61110264, 0.86898404"
"-0.38659745, 1.0571835, -0.2299176, -0.5669251, -0.6936154, -0.73270833, 0.0, 0.0","0.6055788, 0.8753624"
"-0.38883352, 1.0450323, -0.19386439, -0.55712736, -0.73236334, -0.77496016, 0.0, 0.0","0.6023438, 0.8785058"
"-0.39058834, 1.0332766, -0.14522234, -0.5412916, -0.77322197, -0.8171733, 0.0, 0.0","0.6012757, 0.87856686"
"-0.3916658, 1.0216844, -0.0773492, -0.5357622, -0.8159628, -0.8548175, 0.0, 0.0","0.6012757, 0.87856686"
"-0.3923811, 1.009824, -0.041155495, -0.5495317, -0.86068034, -0.89435214, 0.0, 0.0","0.6012757, 0.87856686"
"-0.39269775, 0.9980603, -0.0014669136, -0.5472806, -0.9075715, -0.9378258, 0.0, 0.0","0.6012757, 0.87856686"
"-0.39265093, 0.98577976, 0.03426861, -0.5722201, -0.9563913, -0.9763986, 0.0, 0.0","0.6012757, 0.87856686"
"-0.39221764, 0.9734419, 0.0721434, -0.5769528, -1.007401, -1.0201966, 0.0, 0.0","0.6012757, 0.87856686"
"-0.39139143, 0.9608458, 0.110272124, -0.5906184, -1.0605347, -1.0626758, 0.0, 0.0","0.6012757, 0.87856686"
"-0.39012975, 0.94806165, 0.15231363, -0.6012288, -1.1158481, -1.1062684, 0.0, 0.0","0.6012757, 0.8750267"
"-0.38804293, 0.9351095, 0.23287037, -0.6108728, -1.1732135, -1.1473098, 0.0, 0.0","0.6239204, 0.53004545"
"-0.3852381, 0.92174435, 0.30193418, -0.63073, -1.2315727, -1.1671901, 0.0, 0.0","0.75051117, 0.231666"
"-0.38162202, 0.90807354, 0.37969944, -0.6448299, -1.2895269, -1.1590863, 0.0, 0.0","1.0000305, 0.07797479"
"-0.3771015, 0.8944558, 0.46705228, -0.643595, -1.3482436, -1.1743349, 0.0, 0.0","1.0000305, -0.030243844"
"-0.37196526, 0.88064563, 0.5253232, -0.6530657, -1.407544, -1.1860112, 0.0, 0.0","1.0000305, -0.11001923"
"-0.3659733, 0.86660475, 0.60742736, -0.6640326, -1.4673115, -1.1953532, 0.0, 0.0","1.0000305, -0.15518662"
"-0.3591712, 0.85233325, 0.6848834, -0.67502517, -1.5278121, -1.2100146, 0.0, 0.0","1.0000305, -0.1723075"
"-0.3514666, 0.83761513, 0.77142906, -0.69517577, -1.5885925, -1.2156096, 0.0, 0.0","1.0000305, -0.1857967"
"-0.34307474, 0.8222746, 0.8364094, -0.7227914, -1.649346, -1.2150724, 0.0, 0.0","1.0000305, -0.19919431"
"-0.3337732, 0.80640495, 0.92358893, -0.74647045, -1.7106342, -1.2257682, 0.0, 0.0","1.0000305, -0.21701711"
"-0.32361913, 0.79002887, 1.004904, -0.7691852, -1.7727426, -1.242172, 0.0, 0.0","1.0000305, -0.2433851"
"-0.31302604, 0.7728062, 1.0450647, -0.80605805, -1.8344994, -1.2351372, 0.0, 0.0","1.0000305, -0.2699057"
"-0.30200505, 0.75483984, 1.0841043, -0.8384952, -1.8963295, -1.2366045, 0.0, 0.0","1.0000305, -0.28452405"
"-0.29021472, 0.73615295, 1.1570736, -0.8701894, -1.95893, -1.2520157, 0.0, 0.0","1.0000305, -0.29459518"
"-0.27753624, 0.71614224, 1.2424405, -0.92771524, -2.0210054, -1.2415061, 0.0, 0.0","1.0000305, -0.30774865"
"-0.26397628, 0.6947841, 1.3272235, -0.98628384, -2.0827663, -1.2352207, 0.0, 0.0","1.0000305, -0.33164465"
"-0.24996758, 0.67222697, 1.3690537, -1.0379732, -2.14392, -1.2230735, 0.0, 0.0","0.9954833, -0.35798213"
"-0.23534946, 0.64839894, 1.4269391, -1.0929716, -2.2048502, -1.2186109, 0.0, 0.0","0.98892176, -0.37745294"
"-0.220084, 0.623197, 1.4887364, -1.1524723, -2.2656183, -1.2153661, 0.0, 0.0","0.9841914, -0.3869747"
"-0.20405594, 0.596538, 1.5619782, -1.2157475, -2.3266017, -1.219671, 0.0, 0.0","0.9759209, -0.39234596"
"-0.18746996, 0.56832594, 1.6152989, -1.2828792, -2.3872035, -1.2120359, 0.0, 0.0","0.97216713, -0.39530626"
"-0.17018986, 0.538614, 1.6818241, -1.3479246, -2.4482307, -1.2205491, 0.0, 0.0","0.969512, -0.3971679"
"-0.15259084, 0.5073548, 1.7118992, -1.4144571, -2.5085132, -1.205652, 0.0, 0.0","0.96942043, -0.39826655"
"-0.13431129, 0.47444224, 1.777251, -1.4861941, -2.569398, -1.2176985, 0.0, 0.0","0.96942043, -0.39826655"
"-0.11541052, 0.4396775, 1.8370615, -1.5665137, -2.630595, -1.22394, 0.0, 0.0","0.96942043, -0.39826655"
"-0.09615517, 0.40312022, 1.8709946, -1.6438702, -2.6914108, -1.2163211, 0.0, 0.0","0.96942043, -0.39826655"
"-0.07681513, 0.36512262, 1.878566, -1.7054362, -2.7514396, -1.2005798, 0.0, 0.0","0.95422226, -0.4120304"
"-0.057352446, 0.32573834, 1.8898194, -1.7647245, -2.811058, -1.1923691, 0.0, 0.0","0.91076386, -0.5191809"
"-0.037593555, 0.285137, 1.9190209, -1.8164104, -2.869907, -1.1769806, 0.0, 0.0","0.84130377, -0.62965786"
"-0.017491817, 0.24311508, 1.9532835, -1.877151, -2.927804, -1.1579487, 0.0, 0.0","0.79879147, -0.7037263"
"0.0030210495, 0.1991566, 1.9947354, -1.9608966, -2.9846356, -1.1366376, 0.0, 0.0","0.782281, -0.731315"
"0.023733903, 0.15407224, 2.015512, -2.0086904, -3.0401719, -1.1107252, 0.0, 0.0","0.77437663, -0.7406537"
"0.044412803, 0.107488856, 2.01364, -2.0731766, -3.0938928, -1.074421, 0.0, 0.0","0.77135533, -0.74346143"
"0.06514473, 0.059114393, 2.0203848, -2.150831, -3.1460326, -1.0427974, 0.0, 0.0","0.77089757, -0.7462081"
"0.08603821, 0.009411988, 2.0378385, -2.208061, -3.196902, -1.017389, 0.0, 0.0","0.7707755, -0.74648273"
"-0.0033673286, 1.4104602, -0.34109002, -0.020443644, 0.00390868, 0.07726197, 0.0, 0.0","0.77068394, -0.7343364"
"-0.0067497254, 1.4107763, -0.34368482, 0.01402367, 0.009287558, 0.10758807, 0.0, 0.0","0.78148746, -0.7261574"
"-0.010230732, 1.4109863, -0.35488862, 0.0092763575, 0.016008344, 0.13442793, 0.0, 0.0","0.46211126, -0.43458357"
"-0.013723373, 1.4117125, -0.3560607, 0.03218667, 0.022729646, 0.13443856, 0.0, 0.0","0.16479996, -0.29764703"
"-0.017234612, 1.4124192, -0.35787857, 0.031286847, 0.029403744, 0.13349476, 0.0, 0.0","0.0, -0.054811243"
"-0.020746041, 1.4125264, -0.3578982, 0.004615173, 0.036076847, 0.1334744, 0.0, 0.0","0.0, -0.03463851"
"-0.024257755, 1.4120342, -0.35791785, -0.02205408, 0.042748854, 0.13345283, 0.0, 0.0","0.0, -0.026581623"
"-0.02776966, 1.4109423, -0.35793725, -0.048725765, 0.049419817, 0.13343179, 0.0, 0.0","0.0, -0.02356029"
"-0.03128185, 1.4092513, -0.35795668, -0.07539764, 0.056089714, 0.13341078, 0.0, 0.0","0.0, -0.02313303"
"-0.03479433, 1.4069608, -0.357976, -0.10206969, 0.0627586, 0.13338968, 0.0, 0.0","0.0, -0.022919402"
"-0.038307, 1.4040709, -0.3579952, -0.12874189, 0.06942642, 0.13336867, 0.0, 0.0","0.0, -0.022919402"
"-0.041819952, 1.4005814, -0.35801432, -0.15541416, 0.076093204, 0.13334775, 0.0, 0.0","0.0, -0.022919402"
"-0.0453331, 1.3964924, -0.35803336, -0.18208665, 0.08275894, 0.13332689, 0.0, 0.0","0.0, -0.020569475"
"-0.048846435, 1.391804, -0.35805225, -0.20875926, 0.08942365, 0.13330612, 0.0, 0.0","0.0, -0.020569475"
"-0.052360058, 1.3865162, -0.35807106, -0.23543201, 0.0960873, 0.13328543, 0.0, 0.0","0.0, -0.020569475"
"-0.055873774, 1.3806288, -0.35808975, -0.26210496, 0.10274992, 0.13326484, 0.0, 0.0","0.0, -0.020569475"
"-0.059387874, 1.374142, -0.3581083, -0.2887781, 0.10941152, 0.1332443, 0.0, 0.0","0.0, -0.020569475"
"-0.06290217, 1.3670555, -0.35812673, -0.31545132, 0.116072096, 0.13322386, 0.0, 0.0","0.0, -0.020569475"
"-0.06641664, 1.3593698, -0.35814506, -0.34212476, 0.122731656, 0.13320349, 0.0, 0.0","0.0, -0.020569475"
"-0.06993141, 1.3510844, -0.35816324, -0.36879832, 0.12939022, 0.1331832, 0.0, 0.0","0.0, -0.020111699"
"-0.07344647, 1.3421994, -0.3581813, -0.39547205, 0.13604777, 0.13316298, 0.0, 0.0","0.0, -0.016083255"
"-0.0769618, 1.3327152, -0.35819924, -0.42214593, 0.14270431, 0.13314284, 0.0, 0.0","0.0, -0.007934812"
"-0.08047743, 1.3226311, -0.35821706, -0.44881997, 0.14935987, 0.13312276, 0.0, 0.0","0.0, 0.008148442"
"-0.08399324, 1.3119478, -0.3582347, -0.47549412, 0.15601443, 0.1331028, 0.0, 0.0","0.0, 0.031037325"
"-0.08750925, 1.3006649, -0.35825223, -0.5021685, 0.16266797, 0.13308296, 0.0, 0.0","0.0, 0.060060427"
"-0.09102316, 1.2887615, -0.35803634, -0.52978396, 0.16932122, 0.13306473, 0.0, 0.0","0.0, 0.14731285"
"-0.09453716, 1.2762586, -0.35803545, -0.5564543, 0.17597444, 0.13306428, 0.0, 0.0","0.0, 0.32111576"
"-0.09805117, 1.2631562, -0.3580345, -0.5831245, 0.18262763, 0.1330637, 0.0, 0.0","0.0, 0.59831536"
"-0.101511285, 1.2494624, -0.3512648, -0.60927683, 0.18791239, 0.105695106, 0.0, 0.0","0.0, 0.7752617"
"-0.10491695, 1.2351902, -0.3444055, -0.63480985, 0.19176751, 0.07710195, 0.0, 0.0","0.12814721, 1.0000305"
"-0.1084527, 1.2211326, -0.35542887, -0.62501717, 0.19363031, 0.03725581, 0.0, 0.0","0.14117862, 1.0000305"
"-0.11198797, 1.2069309, -0.35338533, -0.63117635, 0.19349235, -0.0027588897, 0.0, 0.0","0.14386426, 1.0000305"
"-0.11541967, 1.1928437, -0.34101427, -0.6258126, 0.19132605, -0.043326117, 0.0, 0.0","0.14648885, 1.0000305"
"-0.1189271, 1.1786785, -0.3466139, -0.62903607, 0.18716682, -0.08318454, 0.0, 0.0","0.14648885, 1.0000305"
"-0.122489735, 1.1644897, -0.35013354, -0.6298516, 0.18101029, -0.12313042, 0.0, 0.0","0.14648885, 1.0000305"
"-0.12615052, 1.150379, -0.3579467, -0.62617683, 0.1728594, -0.1630176, 0.0, 0.0","0.14648885, 1.0000305"
"-0.12970257, 1.1361903, -0.3450573, -0.62946373, 0.16269453, -0.20329759, 0.0, 0.0","0.14648885, 1.0000305"
"-0.13317032, 1.1217386, -0.33459306, -0.6410104, 0.15052815, -0.24332754, 0.0, 0.0","0.14648885, 1.0000305"
"-0.1365858, 1.1072854, -0.32734174, -0.6409885, 0.13635746, -0.28341395, 0.0, 0.0","0.14648885, 1.0000305"
"-0.13991432, 1.0926868, -0.31660068, -0.6474216, 0.12018549, -0.32343948, 0.0, 0.0","0.14648885, 1.0000305"
"-0.14318237, 1.0782909, -0.30850065, -0.6384402, 0.1020087, -0.363536, 0.0, 0.0","0.14648885, 1.0000305"
"-0.14645462, 1.0639272, -0.30688486, -0.63712543, 0.08184275, -0.40331954, 0.0, 0.0","0.14685507, 1.0000305"
"-0.14980125, 1.0496426, -0.31229275, -0.633802, 0.059697784, -0.44289947, 0.0, 0.0","0.14685507, 1.0000305"
"-0.15321961, 1.0355155, -0.31742495, -0.6270706, 0.035575345, -0.48244888, 0.0, 0.0","0.14685507, 1.0000305"
"-0.15647468, 1.0212274, -0.299056, -0.6346006, 0.009454931, -0.5224087, 0.0, 0.0","0.14700766, 0.9378948"
"-0.15961313, 1.0068526, -0.28549826, -0.63894296, -0.018523006, -0.559559, 0.0, 0.0","0.14700766, 0.60206914"
"-0.16272135, 0.992588, -0.28125027, -0.63460654, -0.04773858, -0.5843119, 0.0, 0.0","0.0, 0.037598804"
"-0.16582927, 0.97773457, -0.28125364, -0.6613446, -0.07695244, -0.5842775, 0.0, 0.0","0.0, 0.011749626"
"-0.16893673, 0.9622926, -0.2812602, -0.6880826, -0.1061646, -0.5842432, 0.0, 0.0","0.0, -0.046143986"
"-0.17204323, 0.9462619, -0.28126985, -0.71482044, -0.13537502, -0.5842088, 0.0, 0.0","0.0, -0.17538987"
"-0.17514877, 0.9296425, -0.28128266, -0.741558, -0.16458371, -0.5841745, 0.0, 0.0","0.0, -0.52699363"
"-0.17829418, 0.91243786, -0.28644302, -0.7680094, -0.19275677, -0.5634614, 0.0, 0.0","0.1163976, -0.64387953"
"-0.18143645, 0.8953174, -0.28752604, -0.7646087, -0.21967755, -0.53841585, 0.0, 0.0","0.21778008, -1.0"
"-0.18444005, 0.87841487, -0.27582046, -0.75506026, -0.24457106, -0.4978703, 0.0, 0.0","0.26984465, -1.0"
"-0.18729344, 0.86162126, -0.26293394, -0.750277, -0.26741755, -0.45693046, 0.0, 0.0","0.276986, -1.0"
"-0.19015598, 0.84484965, -0.2659554, -0.74924815, -0.28825006, -0.41665035, 0.0, 0.0","0.27997681, -1.0"
"-0.19311075, 0.8278891, -0.27722138, -0.75752276, -0.30708238, -0.3766467, 0.0, 0.0","0.27997681, -1.0"
"-0.19596691, 0.8113298, -0.2694545, -0.73948616, -0.32387283, -0.3358086, 0.0, 0.0","0.27997681, -1.0"
"-0.19872579, 0.79454726, -0.26175776, -0.7491163, -0.33861214, -0.29478583, 0.0, 0.0","0.28907132, -1.0"
"-0.20137438, 0.7775077, -0.25276762, -0.7601986, -0.35129184, -0.2535946, 0.0, 0.0","0.30362865, -1.0"
"-0.20398974, 0.7607688, -0.251425, -0.7464628, -0.36193952, -0.21295345, 0.0, 0.0","0.32752463, -1.0"
